373,0,3,"Beavan, Mr. Brian Thomas",male,19,0,0,323951,8.05,,S
391,1,1,"Carter, Mr. Brian Ernest",male,36,1,2,113760,120,B96 B98,S
400,1,2,"Trout, Mrs. Brian H (Jessie L)",female,28,0,0,240929,12.65,,S
408,1,2,"Richards, Master. Brian Rowe",male,3,1,1,29106,18.75,,S
419,0,2,"Matthews, Mr. Brian John",male,30,0,0,28228,13,,S
435,0,1,"Silvey, Mr. Brian Baird",male,50,1,0,13507,55.9,E44,S
462,0,3,"Morley, Mr. Brian",male,34,0,0,364506,8.05,,S
467,0,2,"Campbell, Mr. Brian",male,,0,0,239853,0,,S
489,0,3,"Somerton, Mr. Francis Brian",male,30,0,0,A.5. 18509,8.05,,S
498,0,3,"Shellard, Mr. Frederick Brian",male,,0,0,C.A. 6212,15.1,,S
516,0,1,"Walker, Mr. Brian Anderson",male,47,0,0,36967,34.0208,D46,S
519,1,2,"Angle, Mrs. Brian A (Florence ""Mary"" Agnes Hughes)",female,36,1,0,226875,26,,S
578,1,1,"Silvey, Mrs. Brian Baird (Alice Munger)",female,39,1,0,13507,55.9,E44,S
583,0,2,"Downton, Mr. Brian James",male,54,0,0,28403,26,,S
593,0,3,"Elsbury, Mr. Brian James",male,47,0,0,A/5 3902,7.25,,S
604,0,3,"Torber, Mr. Ernst Brian",male,44,0,0,364511,8.05,,S
608,1,1,"Daniel, Mr. Robert Brians",male,27,0,0,113804,30.5,,S
615,0,3,"Brocklebank, Mr. Brian Alfred",male,35,0,0,364512,8.05,,S
618,0,3,"Lobb, Mrs. Brian Arthur (Cordelia K Stanlick)",female,26,1,0,A/5. 3336,16.1,,S
634,0,1,"Parr, Mr. Brian Henry Marsh",male,,0,0,112052,0,,S
661,1,1,"Frauenthal, Dr. Henry Brian",male,50,2,0,PC 17611,133.65,,S
665,1,3,"Lindqvist, Mr. Eino Brian",male,20,1,0,STON/O 2. 3101285,7.925,,S
671,1,2,"Brown, Mrs. Thomas Brian Solomon (Elizabeth Catherine Ford)",female,40,1,1,29750,39,,S
685,0,2,"Brown, Mr. Thomas Brian Solomon",male,60,1,1,29750,39,,S
710,1,3,"Moubarek, Master. Halim Gonios (""Brian George"")",male,,1,1,2661,15.2458,,C
723,0,2,"Gillespie, Mr. Brian Henry",male,34,0,0,12233,13,,S
734,0,2,"Berriman, Mr. Brian John",male,23,0,0,28425,13,,S
736,0,3,"Brians, Mr. Leslie",male,28.5,0,0,54636,16.1,,S
742,0,1,"Cavendish, Mr. Tyrell Brian",male,36,1,0,19877,78.85,C46,S
764,1,1,"Carter, Mrs. Brian Ernest (Lucile Polk)",female,36,1,2,113760,120,B96 B98,S
785,0,3,"Ali, Mr. Brian",male,25,0,0,SOTON/O.Q. 3101312,7.05,,S
794,0,1,"Hoyt, Mr. Brian Fisher",male,,0,0,PC 17600,30.6958,,C
803,1,1,"Carter, Master. Brian Thornton II",male,11,1,2,113760,120,B96 B98,S
811,0,3,"Alexander, Mr. Brian",male,26,0,0,3474,7.8875,,S
865,0,2,"Gill, Mr. John Brian",male,24,0,0,233866,13,,S
881,1,2,"Shelley, Mrs. Brian (Imanita Parrish Hall)",female,25,0,1,230433,26,,S
886,0,3,"Rice, Mrs. Brian (Margaret Norton)",female,39,0,5,382652,29.125,,Q
